unique_id,canonical_bitmask,orientations,canonical_coords,black_remaining,white_remaining,diff_black_minus_white,parity_possible,solution_count
55414,33588491,8,a1 a2 a4 b3 b5 c4 e2,17,12,5,1,0
55415,34938945,8,a1 b1 c2 c5 d1 d3 e2,16,13,3,1,0
55416,39067713,8,a1 b1 c2 d1 d3 d5 e2,17,12,5,1,0
55417,33571508,8,a3 a5 a6 b2 b4 c3 e2,13,16,-3,1,0
55418,16794292,8,a3 a5 a6 b2 b4 c3 e1,12,17,-5,1,0
55419,34873441,8,a1 a6 b1 c2 d1 d3 e2,17,12,5,1,0
55420,34875457,8,a1 b1 b6 c2 d1 d3 e2,16,13,3,1,0
55421,35004481,8,a1 b1 c2 c6 d1 d3 e2,17,12,5,1,0
55422,43262017,8,a1 b1 c2 d1 d3 d6 e2,16,13,3,1,0
55423,295766048,8,a6 b6 c5 d4 d6 e1 e5,12,17,-5,1,0
55424,1073758900,8,a3 a5 a6 b2 b4 c3 f1,13,16,-3,1,0
55555,33826897,8,a1 a5 b1 b6 c2 d1 e2,15,14,1,1,0
55598,1091049616,8,a5 b2 b6 c1 d2 e1 f1,12,17,-5,1,0
55707,270964,8,a3 a5 a6 b1 b4 c2 d1,15,14,1,1,0
55831,2147756113,8,a1 a5 b1 b6 c2 d1 f2,14,15,-1,1,0
55874,1091049490,8,a2 a5 b6 c1 d2 e1 f1,13,16,-3,1,0
56012,270933,8,a1 a3 a5 b1 b4 c2 d1,14,15,-1,1,0
56083,272469,8,a1 a3 a5 b1 b6 c2 d1,14,15,-1,1,0
56126,2164392500,8,a3 a5 a6 b4 c6 e1 f2,13,16,-3,1,0
56168,1089803,8,a1 a2 a4 b3 c2 c4 d3,17,12,5,1,0
56314,272721,8,a1 a5 b1 b3 b6 c2 d1,15,14,1,1,0
56357,1158158352,8,a5 b6 c1 d2 e1 e3 f1,12,17,-5,1,0
56524,288849,8,a1 a5 b1 b6 c2 c3 d1,14,15,-1,1,0
56567,1092098064,8,a5 b6 c1 d2 d3 e1 f1,13,16,-3,1,0
56714,1321041,8,a1 a5 b1 b6 c2 d1 d3,15,14,1,1,0
56757,1091065872,8,a5 b6 c1 c3 d2 e1 f1,12,17,-5,1,0
56885,67381329,8,a1 a5 b1 b6 c2 d1 e3,14,15,-1,1,0
56928,1091049744,8,a5 b3 b6 c1 d2 e1 f1,13,16,-3,1,0
57013,17306164,8,a3 a5 a6 b4 c1 d2 e1,12,17,-5,1,0
57038,2164392203,8,a1 a2 a4 b3 c6 e1 f2,15,14,1,1,0
57081,1091049492,8,a3 a5 b6 c1 d2 e1 f1,12,17,-5,1,0
57173,272473,8,a1 a4 a5 b1 b6 c2 d1,15,14,1,1,0
57182,271465,8,a1 a4 a6 b1 b5 c2 d1,17,12,5,1,0
57216,2172650036,8,a3 a5 a6 b4 d6 e1 f2,12,17,-5,1,0
57293,272977,8,a1 a5 b1 b4 b6 c2 d1,14,15,-1,1,0
57336,1225267216,8,a5 b6 c1 d2 e1 e4 f1,13,16,-3,1,0
57398,305233,8,a1 a5 b1 b6 c2 c4 d1,15,14,1,1,0
57441,1093146640,8,a5 b6 c1 d2 d4 e1 f1,12,17,-5,1,0
57489,2369617,8,a1 a5 b1 b6 c2 d1 d4,14,15,-1,1,0
57532,1091082256,8,a5 b6 c1 c4 d2 e1 f1,13,16,-3,1,0
57567,75565154,8,a2 a6 b1 b6 c5 d6 e3,14,15,-1,1,0
