unique_id,canonical_bitmask,orientations,canonical_coords,black_remaining,white_remaining,diff_black_minus_white,parity_possible
392487,1241653344,8,a6 b1 c2 c6 e2 e4 f1,18,11,7,0
396843,94896133,8,a1 a3 d2 d4 d6 e1 e3,11,18,-7,0
396845,296222725,8,a1 a3 d2 d4 d6 e1 e5,11,18,-7,0
396847,2175270917,8,a1 a3 d2 d4 d6 e1 f2,11,18,-7,0
396849,4296409378,8,a2 a6 b3 c6 d1 d3 f3,18,11,7,0
396861,173277224,8,a4 a6 d1 d3 d5 e2 e4,18,11,7,0
396864,1749319688,8,a4 c4 d1 d5 e4 e6 f1,18,11,7,0
396866,1212579848,8,a4 c4 c6 d1 d5 e4 f1,18,11,7,0
396877,1745126408,8,a4 b5 c4 d1 e4 e6 f1,18,11,7,0
396879,1208386568,8,a4 b5 c4 c6 d1 e4 f1,18,11,7,0
396889,1745256456,8,a4 c4 c6 d1 e4 e6 f1,18,11,7,0
396904,34742562,8,a2 a6 b3 c2 c6 d3 e2,18,11,7,0
396906,1188194,8,a2 a6 b1 b3 c2 c6 d3,18,11,7,0
396908,1450274,8,a2 a6 b3 c2 c6 d1 d3,18,11,7,0
396910,1074929954,8,a2 a6 b3 c2 c6 d3 f1,18,11,7,0
396919,34734434,8,a2 a6 b1 b3 c6 d3 e2,18,11,7,0
396921,34996514,8,a2 a6 b3 c6 d1 d3 e2,18,11,7,0
396923,1108476194,8,a2 a6 b3 c6 d3 e2 f1,18,11,7,0
396929,1442146,8,a2 a6 b1 b3 c6 d1 d3,18,11,7,0
396931,1074921826,8,a2 a6 b1 b3 c6 d3 f1,18,11,7,0
396986,34742624,8,a6 b1 b3 c2 c6 d3 e2,18,11,7,0
396988,35004704,8,a6 b3 c2 c6 d1 d3 e2,18,11,7,0
396990,1108484384,8,a6 b3 c2 c6 d3 e2 f1,18,11,7,0
397000,1450336,8,a6 b1 b3 c2 c6 d1 d3,18,11,7,0
397002,1074930016,8,a6 b1 b3 c2 c6 d3 f1,18,11,7,0
397039,34996576,8,a6 b1 b3 c6 d1 d3 e2,18,11,7,0
397041,1108476256,8,a6 b1 b3 c6 d3 e2 f1,18,11,7,0
397288,361234437,8,a1 a3 d2 d6 e1 e3 e5,11,18,-7,0
397290,2240282629,8,a1 a3 d2 d6 e1 e3 f2,11,18,-7,0
397292,4295368994,8,a2 a6 b3 c2 c6 d1 f3,18,11,7,0
397294,1749286952,8,a4 a6 d1 d5 e4 e6 f1,18,11,7,0
